# EnglishWordsRaw.txt — English word list, rebuilt 2026-08 from license-clean sources.
# Counts: hermitdave/FrequencyWords OpenSubtitles-2018 en_full (CC BY-SA 4.0),
# count >= 80, scaled so top ~1.2M. Inventory filter: English Wiktionary via
# Kaikki wiktextract (CC BY-SA 4.0) membership — drops subtitle OCR junk and typos.
# POS + CaseType: spaCy (MIT) Penn tags + MID-SENTENCE case shares over a 3M-sentence
# English Wikipedia sample (CC BY-SA 4.0, 2026-08 dump); register correction and the
# >=5%-representation guard mirror tools/case-seeds (see README there). CaseType from
# title share s_eff: <0.10 LO, <0.50 LF, <0.90 TF, >=0.90 TO; ALL-CAPS>=60% AC;
# mixed>=50% OC (surface from Wiktionary). Curated rows (abbreviations, extensions,
# contractions, I-forms) carried over from the previous hand-revised list.
# Fields: word;rawFreq;CASETYPE,POS1[,POS2[,POS3]]
piece;3511;LO,NN
yesterday;3494;LO,NN
throw;3488;LO,NN,VB
picture;3479;LF,NN,NNP
land;3477;LF,NN
feet;3472;LO,NNS
wonder;3456;LF,NNP,NN
questions;3455;LO,NNS
speaking;3450;LO,VBG
worth;3441;LF,JJ,NN,NNP
darling;3428;LO,NNP,NN
dude;3426;LO,NNP,NN
giving;3422;LO,VBG
president;3417;LF,NN,NNP
eye;3416;LF,NN,NNP
quick;3399;LO,JJ
moving;3384;LO,VBG
figure;3378;LO,NN
state;3369;LF,NN,NNP
strong;3356;LO,JJ
Sam;3352;TO,NNP
none;3348;LO,NN
amazing;3346;LO,JJ,NNP
ones;3316;LO,NNS
works;3307;LF,NNS,VBZ
act;3294;LF,NNP,NN
needed;3290;LO,VBN,VBD
weird;3265;LO,JJ,NNP
law;3262;LF,NN,NNP
worried;3255;LO,JJ,VBD,VBN
report;3244;LF,NN
goodbye;3231;LO,NNP,NN
missing;3223;LO,VBG
choice;3218;LF,NN,NNP
happening;3212;LO,VBG
chief;3208;LF,NNP,NN,JJ
wedding;3207;LO,NN
strange;3204;LO,JJ,NNP
general;3202;LF,NNP,JJ
pain;3201;LO,NN
kidding;3199;LO,VBG,NNP
decided;3197;LO,VBD,VBN
ya;3195;LO,NNP
pass;3195;LF,NN,VB,NNP
tired;3191;LO,JJ
class;3188;LF,NN
officer;3169;LF,NN,NNP
kept;3165;LO,VBD,VBN
wake;3159;LF,NN,NNP,VB
worse;3151;LO,JJR
busy;3150;LO,JJ
eh;3134;LO,NNP,UH
mistake;3125;LO,NN
kiss;3118;LF,NNP,NN,VB
court;3109;LF,NNP,NN
building;3105;LO,NN
finish;3097;LO,NN,VB
during;3097;LO,IN
age;3096;LO,NN
ship;3094;LO,NN
caught;3087;LO,VBN,VBD
marry;3082;LO,VB
meant;3082;LO,VBD,VBN
sell;3076;LO,VB
dark;3075;LF,JJ,NNP
watching;3072;LO,VBG
system;3071;LF,NN
suppose;3062;LO,VB,VBP
evidence;3048;LO,NN
movie;3046;LF,NN
ride;3046;LO,NN,VB,NNP
completely;3034;LO,RB
mouth;3032;LO,NN
totally;3021;LO,RB
birthday;3007;LF,NN,NNP
TV;3004;AC,NN,NNP
forgive;2998;LO,VB
born;2997;LO,VBN
imagine;2996;LO,VB,NNP
information;2995;LF,NN
instead;2983;LO,RB
definitely;2981;LO,RB
security;2981;LF,NN,NNP
certainly;2978;LO,RB
film;2977;LF,NN
month;2966;LO,NN
lying;2964;LO,VBG
unless;2959;LO,IN
train;2959;LO,NN,VB
seven;2958;LO,JJ
wear;2958;LO,VB,VBP,NN
clothes;2957;LO,NNS
Michael;2949;TO,NNP
hotel;2945;LF,NN,NNP
Christmas;2944;TO,NNP
attack;2942;LO,NN,VB
round;2920;LO,NN,JJ
expect;2902;LO,VB,VBP
sing;2900;LO,VB,VBP
terrible;2897;LO,JJ
George;2895;TO,NNP
bag;2884;LO,NN,NNP
history;2881;LF,NN
blue;2870;LF,NNP,JJ
near;2867;LO,IN
broke;2861;LO,VBD
station;2858;LF,NN,NNP
seriously;2856;LO,RB
forever;2856;LF,RB,NNP
David;2856;TO,NNP
Frank;2854;TO,NNP
except;2853;LO,IN
thinks;2849;LO,VBZ
message;2847;LO,NN
entire;2846;LO,JJ
Joe;2845;TO,NNP
table;2822;LF,NN
talked;2821;LO,VBD,VBN
across;2818;LO,IN
rock;2808;LF,NN,NNP
lovely;2803;LO,JJ,NNP
handle;2797;LO,VB,NN
middle;2782;LF,NNP,JJ,NN
buddy;2781;LF,NNP,NN
paid;2773;LO,VBN,VBD
