# EspanolWordsRaw.txt — Spanish word list. Source: hermitdave/FrequencyWords OpenSubtitles-2016 es_full
# (CC-BY-SA). Filtered to Spanish-alphabet words, source count >= 10 (drops typo tail); counts
# linearly scaled so top approx 1.2M. Fields: word;rawFreq
# 2026-07: purged ~17k English/foreign contamination entries (untranslated subtitle noise: English
# vocabulary with well-known Spanish equivalents, anglophone proper names, English-spelling exonyms).
# Kept: established loanwords/anglicisms, Spanish clitic forms, Spanish names/exonyms, scientific terms.
# 2026-07: mechanical noise pass (layout-analyzer tools/clean_espanol_corpus.py): removed 940 entries — multi-accent, qú, tripled letters, invalid ü, rare accent-typos of common words. See .removed.txt for the list.
# 2026-07: mechanical noise pass (layout-analyzer tools/clean_espanol_corpus.py): removed 63 entries — multi-accent, qú, tripled letters, invalid ü, rare accent-typos of common words. See .removed.txt for the list.
# 2026-08: case seeds (5th field lower:title, Vietnamese precedent) regenerated from Spanish
# Wikipedia (CC BY-SA 4.0, 2026-08 pages-articles dump, 34.2M extracted sentences),
# MID-SENTENCE capitalization (sentence-initial and post-.!?…:/quote/¿¡/dash tokens skipped).
# Register correction: subtitle rawFreq scaled by k=21.686 (median wiki/subtitle ratio, top-20
# words) to expected wiki count; missing wiki mass counts as lowercase (kills Notre-Dame-style
# collocation bias); title share >=90% trusted only when word attested >=5% of expected mass.
# Evidence thresholds scaled to corpus size (N>=855, T>=103 ~ Leipzig-run 25/3 per token).
escribir;2521
respeto;2515
sueños;2512
joder;2510
estrella;2509;;;3:1
unidos;2506;;;0:4
pista;2505;;;3:1
zapatos;2489
pidió;2489
darme;2482
órdenes;2480
estación;2475;;;3:1
ocupado;2474
veremos;2470
corre;2468
dejes;2467
nena;2465
alta;2461;;;3:1
darte;2459
debido;2451
salida;2437
hacerte;2437
experiencia;2435
bailar;2433
duele;2432
necesitaba;2429
arte;2428;;;3:1
vistazo;2427
parecer;2425
diablo;2424
podido;2424
sur;2424;;;3:1
nivel;2420
juez;2418
lee;2416;;;1:3
decirlo;2416
paciente;2415
oí;2414
hayas;2412
bolsa;2410;;;3:1
color;2409
jugando;2409
hermanos;2408
comandante;2407;;;3:1
tratar;2403
banda;2403
llevas;2398
próximo;2397
libros;2395
azul;2395;;;3:1
sigues;2392
ojo;2389
confiar;2387
estarás;2386
santo;2385;;;1:3
sepa;2384
volvió;2384
tuvimos;2382
aprender;2380
completo;2380
precio;2379
tocar;2377
obra;2377
diferentes;2376
verla;2376
habéis;2360
acción;2355;;;3:1
molesta;2351
culpable;2351
serán;2349
reglas;2348
cuestión;2347
río;2346;;;3:1
bienvenido;2346
ganas;2343
interior;2342;;;3:1
irte;2339
ojalá;2337
informe;2329
cielos;2326
matado;2325
teniendo;2324
apartamento;2323
llamaré;2320
alegra;2320
esperanza;2319;;;3:1
vea;2312
pistola;2311
vuelo;2304
empezó;2304
bomba;2300
contar;2300
vuelvo;2300
abrir;2299
tomó;2297
sigo;2297
empieza;2296
acabado;2296
quedarme;2294
nueve;2293
tony;2293;;;0:4
cartas;2292
vayan;2291
definitivamente;2286
aquel;2283
probar;2282
golpe;2281
estilo;2281
principal;2278
estáis;2275
hacerle;2268
bromeando;2268
común;2268
preocupa;2267
marcha;2266
perdona;2265
londres;2264;;;0:4
pareces;2262
rojo;2262;;;3:1
llaman;2261
estaremos;2259
traer;2258
quedar;2257
estados;2254;;;1:4
nota;2253
humanos;2252;;;3:1
valor;2251
verano;2247;;;3:1
doble;2240
cuello;2238
conocí;2238
suyo;2234
animales;2233
debía;2229
repente;2228
entrada;2227
flores;2223;;;3:1
guardia;2222;;;2:2
tome;2222
ama;2222
tuviera;2221
pareja;2212
preparado;2211
irá;2209
tiempos;2208
acaso;2207
serás;2204
isla;2204;;;3:1
correr;2201
fantástico;2198
tarjeta;2198
piel;2197
usa;2197
perdí;2197
hagan;2196
gay;2192
ayudarme;2190
objetivo;2187
jóvenes;2186
dejaré;2185
haberlo;2184
máquina;2183
llegue;2175
alex;2173;;;0:4
cierra;2164
dejo;2162
enemigo;2161
exacto;2159
imbécil;2158
evitar;2158
obviamente;2158
luces;2157
mentira;2157
dando;2157
larga;2155
intentar;2154
nuevos;2149
déjalo;2141
calor;2141
refiero;2141
entiende;2138
traído;2137
brazo;2136
fuimos;2135
escuché;2135
intenta;2130
blanca;2129;;;2:2
llena;2125
rico;2124;;;1:3
pido;2121
pedido;2120
absolutamente;2116
despierta;2116
jane;2113;;;0:4
piernas;2111
hacerme;2108
vos;2107
justicia;2102;;;2:2
opción;2101
escapar;2099
vacaciones;2091
movimiento;2090;;;3:1
recordar;2090
tomado;2089
pantalones;2086
salga;2085
batalla;2083;;;3:1
señores;2079
majestad;2076
parís;2075;;;0:4
ganado;2073
usando;2072
habías;2072
inocente;2072
planes;2071
fbi;2067
visita;2067
quedan;2066
brillante;2066
cine;2065;;;3:1
pesar;2065
especialmente;2064
defensa;2061;;;3:1
absoluto;2060
mismos;2060
nombres;2058
bosque;2057;;;3:1
toca;2051
embarazada;2049
olvidado;2044
estudio;2037
terminó;2036
presión;2036
resulta;2033
parecen;2029
estupendo;2028
deberían;2025
perros;2024
motivo;2020
esperen;2017
estuviste;2016
suya;2015
llaves;2012
inmediatamente;2010
salido;2010
depende;2008
tomando;2007
espíritu;2006;;;3:1
testigo;2005
vuestra;2002
sentimientos;1999
quedarse;1998
ridículo;1998
